"analysis_id","mgi_accession_id","gene_symbol","mouse_life_stage","mouse_strain","parameter_id","parameter_name","pvalue"
"bdnm15292bo32d0","MGI:2669796","Rtn4rl2","Early adult","C57BL","IMPC_DXA_008_001","Lean/Body weight",0.5
"bdo3s8324cu5c2w","MGI:99602","Acan","E18.5","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.71
"bdtqcio81vh7jp4","MGI:98241","Stmn2","E12.5","C57BL","IMPC_GEM_077_001","Hemorrhage",0.23
"bdw2y6nj1898kd4","MGI:2153608","Ube2j2","Late adult","C57BL","ESLIM_021_001_005","HDL-cholesterol",0.06
"bdwq2608rn33690","MGI:1932970","Ucn3","Early adult","C57BL","KMPCLA_HEM_007_001","Mean cell hemoglobin concentration",0.64
"bdyad6tlqhez1v4","MGI:95777","Gnas","Early adult","129SV","IMPC_ECH_008_001","LVIDd",0.47
"bdz0qxl5c0hvrb0","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_OFD_009_001","Whole arena average speed",0.42
"bdzbfy4o61qg56l","MGI:1921674","Tmc5","Early adult","C57BL","HMGULA_SHI_009_001","Startle response",0.51
"be024eyp60hf3e8","MGI:88289","Cbx2","E15.5","C57BL","CCP_XRY_001_001","Skull shape",0.27
"be2xtjpkg9063e0","MGI:99602","Acan","Early adult","C57BL","JAX_LDT_008_001","Percent time in dark",0.77
"be37sru673x9pbs","MGI:2151224","Alpk3","Early adult","C57BL","JAX_OFD_021_001","Number of rears - total",0.4
"becolo5c3o9d66v","MGI:2153608","Ube2j2","Middle aged adult","C57BL","IMPC_CBC_018_001","Glucose",0.48
"bed68rathkxb77u","MGI:1344403","Cfdp1","Early adult","C57BL","IMPC_CSD_080_001","Head bobbing",0.97
"beiy2442k20i80x","MGI:1921078","Dcaf4","Early adult","C57BL","IMPC_ACS_033_001","% Pre-pulse inhibition - PPI1",0.61
"bf5y0g4t442yhm2","MGI:1926024","Cfap61","Early adult","C57BL","IMPC_CBC_005_001","Creatinine",0.98
"bfe96c438tw6tw9","MGI:1859026","Cnot4","Early adult","C57BL","JAX_LDT_004_001","Dark side time spent",0.24
"bfj4rat989h18gw","MGI:2684313","Togaram1","E9.5","C57BL","IMPC_CBC_028_001","Creatine kinase",0.89
"bfm6315lb04f2nm","MGI:1932970","Ucn3","Early adult","C57BL","IMPC_GEM_068_001","Forebrain morphology",0.92
"bfn81v5i4aep074","MGI:1922928","Ippk","E12.5","C57BL","IMPC_HWT_002_001","Tibia length",0.46
"bfy437x35ya39f7","MGI:1922928","Ippk","E12.5","C57BL","RBRCLA_CBC_004_001","Urea (Blood Urea Nitrogen - BUN)",0.4
"bg423h8y99a1lod","MGI:2385186","Clcc1","E12.5","C57BL","JAX_ECT_011_001","mA threshold inducing clonic seizure",0.41
"bg46p08478549n5","MGI:1859026","Cnot4","Early adult","C57BL","IMPC_DXA_002_001","Fat mass",0.07
"bg4xrkm03619048","MGI:95864","Gstp2","Early adult","C56BL","IMPC_CSD_008_001","Coat - color pattern - back",0.86
"bg84v0763n9q0xd","MGI:1915918","Klk5","Early adult","C57BL","IMPC_EYE_068_001","Left total retinal thickness",0
"bgh49wgvyo8570g","MGI:2153608","Ube2j2","Early adult","C57BL","IMPC_ACS_034_001","% Pre-pulse inhibition - PPI2",0.91
"bgtq15n16m1ggli","MGI:2153608","Ube2j2","Late adult","C57BL","IMPC_CBC_023_001","Alpha-amylase",0.44
"bgv68210mtnj9q6","MGI:2141255","Zfp513","Early adult","C57BL","ESLIM_016_001_002","Red blood cell count",0.12
"bh249b6207ru4q6","MGI:1920431","Nfatc4","Early adult","C57BL","IMPC_CBC_006_001","Total protein",0.44
"bh5o15856pp1pw5","MGI:98241","Stmn2","E18.5","C57BL","JAX_ECT_011_001","mA threshold inducing clonic seizure",0.2
"bh88e8zx5y6897m","MGI:1921275","Nphp3","Early adult","C57BL","M-G-P_006_001_026","Fusion of vertebrae",0.22
"bh8kl0xh6gcsozi","MGI:1921287","Acot6","Early adult","129SV","IMPC_ECH_005_001","Fractional Shortening",0.74
"bhmrj9008eeu241","MGI:2151224","Alpk3","Early adult","C57BL","M-G-P_007_001_010","center - distance",0.45
"bhpi80uo9514ods","MGI:2387194","Qsox2","Late adult","C59BL","IMPC_GRS_010_001","Forelimb grip strength normalised against body weight",0.97
"bhra1858cum91p0","MGI:1914852","Necap1","E18.5","C57BL","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.89
"bi0649ma2841nsk","MGI:1921674","Tmc5","Early adult","C57BL","IMPC_GEM_068_001","Forebrain morphology",0.55
"bi649a4t2hz2cn1","MGI:1859211","Irf6","Early adult","C57BL","IMPC_HEM_003_001","Hemoglobin",0.08
"bi70c27zf005z14","MGI:88452","Col2a1","Early adult","C57BL","IMPC_HEM_032_001","Lymphocyte cell count",0.39
"bi7l6z31f72576p","MGI:99160","Zfp14","Early adult","C57BL","IMPC_HEM_001_001","White blood cell count",0.86
"bi8z0498i5a9x2i","MGI:2147067","Dhx57","Early adult","C57BL","IMPC_GRS_008_001","Forelimb grip strength measurement mean",0.97
"bi9m48l263yc899","MGI:1921674","Tmc5","Early adult","C57BL","IMPC_ECH_005_001","Fractional Shortening",0.12
"bib9mp66b362ot6","MGI:98241","Stmn2","E12.5","C57BL","JAX_SLW_002_001","Sleep daily percent",0.29
"bj06u3xi027b420","MGI:1353497","Slc25a10","Early adult","C57BL","IMPC_OFD_013_001","Periphery average speed",0.25
"bj31t8p82t7fv76","MGI:1928486","Tdo2","E15.5","C57BL","JAX_SLW_004_001","Sleep dark phase percent",0.23
"bj4491r50n007i2","MGI:98241","Stmn2","E18.5","C57BL","IMPC_CAL_021_001","Total water intake",0.24
"bj5n7q9g7y388ic","MGI:2681308","Tas2r139","Early adult","C57BL","IMPC_GRS_011_001","Forelimb and hindlimb grip strength normalised against body weight",0.57
"bj5vyedynr7116t","MGI:1915267","Mrm2","E9.5","C57BL","IMPC_EYE_025_001","Retinal Blood Vessels Structure",0.35
"bj77869s6m79ro0","MGI:1890564","Rcan1","Early adult","C57BL","M-G-P_026_001_011","Snout morphology",0.29
"bjb0jp385md9762","MGI:2385186","Clcc1","E9.5","C57BL","IMPC_ABR_008_001","18kHz-evoked ABR Threshold",0.7
"bjrgocu76jyil99","MGI:1339711","Myh1","Early adult","C57BL","IMPC_GEP_005_002","Responsive to tactile stimuli",0.2
"bjt56y9cp6l3733","MGI:2685945","Pstk","Early adult","C57BL","IMPC_CSD_009_001","Coat - color pattern - head",0.22
"bk1b03264hjphf8","MGI:1277171","Dcx","Early adult","C57BL","IMPC_OFD_015_001","Center resting time",0.79
"bk325f1r3k1f5ov","MGI:96438","Igfbp3","Early adult","C57BL","IMPC_OFD_007_001","Whole arena resting time",0.25
"bk5r31ufawg83f2","MGI:3527427","Taar3","Early adult","C57BL","IMPC_OFD_010_001","Periphery distance travelled",0.44
"bkfe55z202oof3a","MGI:1339711","Myh1","Early adult","C57BL","IMPC_ABR_012_001","30kHz-evoked ABR Threshold",0
"bkxay91tu6024p1","MGI:1920431","Nfatc4","Early adult","C57BL","IMPC_CBC_023_001","Alpha-amylase",0.87
"bl05w357y5csl77","MGI:1914852","Necap1","E18.5","C57BL","MGP_IMM_104_001","Mature NK cells - % of lymphocytes",0.68
"bl6797v394336f3","MGI:2385186","Clcc1","E9.5","C57BL","IMPC_DXA_010_001","Bone Area",0.9
"bl9am30f81lb379","MGI:98957","Wnt4","Early adult","C57BL","IMPC_DXA_006_001","Body length",0.43
"bll5m4ej4ng6fu8","MGI:1919192","Myof","Early adult","C57BL","IMPC_OFD_017_001","Center average speed",0.14
"blxkw69gn95mnig","MGI:1915267","Mrm2","Early adult","C57BL","IMPC_CBC_023_001","Alpha-amylase",0.89
"bm230f35xs15pdy","MGI:1914852","Necap1","E18.5","C57BL","IMPC_GEM_077_001","Hemorrhage",0.52
"bm94mg42r39h29g","MGI:1859026","Cnot4","Early adult","C57BL","RBRCLA_YMZ_005_001","Alternation ratio per number of triplets",0.48
"bm9evh652044g5q","MGI:109151","Ltbp1","Early adult","129SV","M-G-P_025_001_014","Alanine aminotransferase",0.73
"bmd5q8k6bfc14y2","MGI:2669796","Rtn4rl2","Early adult","C57BL","IMPC_CSD_019_001","Forelimbs - size",0.45
"bmoi5h22236q32r","MGI:2661120","Actr3b","Early adult","C57BL","KMPCLA_CBC_006_001","Total protein",0.68
"bmov92i6kj9oe44","MGI:3527427","Taar3","Early adult","C57BL","IMPC_HEM_004_001","Hematocrit",0.84
"bmt9009es9v8jzi","MGI:102716","Cryba4","Early adult","C57BL","JAX_SLW_004_001","Sleep dark phase percent",0.79
"bmw576659a27464","MGI:95805","Grb2","Early adult","C57BL","IMPC_OFD_015_001","Center resting time",0.42
"bn27m511ng15n6e","MGI:2136748","Pcdhb13","Early adult","C57BL","ESLIM_016_001_002","Red blood cell count",0.35
"bn38e328fe45cp8","MGI:2387194","Qsox2","Late adult","C57BL","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.66
"bn60896eisc5e7c","MGI:1923549","Erp44","Early adult","C57BL","IMPC_OWT_002_001","Spleen weight",0.07
"bn9138z11cyylxo","MGI:1930923","Slurp1","Early adult","C57BL","JAX_LDT_009_001","Percent time in light",0.91
"bnd71h564myoey1","MGI:98957","Wnt4","Early adult","C57BL","JAX_HBD_001_001","Total holepokes",0.54
"bo0a737v46p9kjc","MGI:2681308","Tas2r139","Early adult","C57BL","IMPC_CBC_009_001","Calcium",0.93
"bo149739p7slkj3","MGI:96273","Htr1a","Early adult","C57BL","IMPC_ABR_012_001","30kHz-evoked ABR Threshold",0.8
"bo14t0z499v5czm","MGI:1922928","Ippk","E9.5","C57BL","IMPC_ECH_012_001","LVPWs",0.38
"bobd3093u73019w","MGI:1923549","Erp44","Early adult","C57BL","IMPC_CSD_080_001","Head bobbing",0.16
"bobhj8288234sw0","MGI:1339711","Myh1","Early adult","C57BL","IMPC_DXA_007_001","BMC/Body weight",0
"boob08783eh3884","MGI:2385186","Clcc1","Early adult","C57BL","JAX_SLW_002_001","Sleep daily percent",0.77
"botg99wn20p6wg8","MGI:88344","Cd7","Early adult","C57BL","JAX_SLW_004_001","Sleep dark phase percent",0.51
"box5049r4g07ia3","MGI:2145567","Fam149b","Early adult","C57BL","IMPC_EYE_083_001","Vitreous",0.76
"bp1p03r56r74wry","MGI:2153608","Ube2j2","Late adult","C57BL","IMPC_CBC_009_001","Calcium",0.34
"bp5xmiroi5t8114","MGI:2388280","Polr2b","Early adult","C57BL","IMPC_CSD_080_001","Head bobbing",0.87
"bpvn79o5o73nvee","MGI:3527427","Taar3","Early adult","C57BL","IMPC_EYE_016_001","Lens",0.98
"bqcgsf646b53z42","MGI:101901","Klra7","Early adult","C57BL","HMGULA_CBC_016_001","HDL-cholesterol",0.49
"bqml8p72edob976","MGI:1915267","Mrm2","E9.5","C57BL","HMGULA_CBC_010_001","Phosphorus",0.64
"br19b6smr8rt774","MGI:3652039","Rad21l","Late adult","C57BL","JAX_LDT_004_001","Dark side time spent",0.39
"br3707brm93c4l8","MGI:1915267","Mrm2","Early adult","C57BL","IMPC_OFD_009_001","Whole arena average speed",0.64
"br9i3988x0ovac0","MGI:1922928","Ippk","E12.5","C57BL","JAX_LDT_005_001","Time mobile dark side",0.88
"brbnt6wk7wx1tgu","MGI:98261","Ccl4","Early adult","C57BL","IMPC_HEM_027_001","Red blood cell distribution width",0.55
"brcdkk686cy0uv1","MGI:1915267","Mrm2","E9.5","C57BL","ESLIM_011_001_003","PP2 startle magnitude",0.09
"bri36327f84bwg5","MGI:95864","Gstp2","Early adult","C57BL","IMPC_CBC_009_001","Calcium",0.72
"brk4h2s8h70a695","MGI:106351","Vcf1","Early adult","C57BL","JAX_URI_005_001","Glucose",0.12
"bry02opw95n9bkt","MGI:109151","Ltbp1","Early adult","C57BL","IMPC_CSD_036_001","Startle response",0.52
"bry2h872yak1419","MGI:1859211","Irf6","Early adult","C57BL","MGP_IMM_104_001","Mature NK cells - % of lymphocytes",0.42
"bry3cl54v2a66yp","MGI:2441730","Tbl1xr1","Early adult","C57BL","ESLIM_016_001_002","Red blood cell count",0.21
"bry64f624kob18h","MGI:1859211","Irf6","Early adult","C57BL","IMPC_ECH_008_001","LVIDd",0.7
"bs0p6g9g8u9t1s0","MGI:1277171","Dcx","Early adult","C57BL","ESLIM_011_001_005","PP4 startle magnitude",0.26
"bs5jv0i0t4ff7v8","MGI:98241","Stmn2","Early adult","C57BL","IMPC_EYE_069_001","Left inner nuclear layer",0.77
"bs9kpjfl468yy57","MGI:2442689","Lrrc49","Early adult","C57BL","IMPC_EYE_007_001","Cornea",0.08
"bsg1tsy87y0cq6k","MGI:1919192","Myof","Early adult","C57BL","JAX_SLW_013_001","Breath rate during sleep mean",0.93
"bspeu097f3438gi","MGI:103250","Calm2","Early adult","C57BL","M-G-P_025_001_012","Lactate dehydrogenase",0.59
"bswdm4am6g88c25","MGI:1920431","Nfatc4","Early adult","C57BL","MGP_IMM_121_001","Macrophages - % of CD45+",0.85
"bt2m474630l5j9n","MGI:2661120","Actr3b","Early adult","C57BL","JAX_LDT_009_001","Percent time in light",0
"bt3e79q9zb113v0","MGI:1922928","Ippk","Early adult","C57BL","M-G-P_025_001_012","Lactate dehydrogenase",0.44
"bt3p4ota284v9hk","MGI:98241","Stmn2","E12.5","C57BL","JAX_SLW_004_001","Sleep dark phase percent",0.51
"bt494ybk12ml97a","MGI:1919588","Wdr89","Early adult","C57BL","IMPC_ABR_004_001","6kHz-evoked ABR Threshold",0.64
"bt63nrjx484t1z7","MGI:109151","Ltbp1","Early adult","129SV","IMPC_IPG_012_001","Area under glucose response curve",0.81
"bta1165250i53d7","MGI:109151","Ltbp1","Early adult","C57BL","M-G-P_025_001_013","Aspartate aminotransferase",0.44
"bta67uu2726mgut","MGI:2685031","Leo1","Early adult","C57BL","HMGULA_HWT_008_001","Heart weight",0.32
"btf0k5i6zones03","MGI:2684313","Togaram1","E15.5","C57BL","RBRCLA_CBC_004_001","Urea (Blood Urea Nitrogen - BUN)",0.65
"btfvo72vo83qak7","MGI:95805","Grb2","Early adult","C57BL","IMPC_DXA_010_001","Bone Area",0.66
"bth36t92y75an1w","MGI:2443796","Scart1","Early adult","C57BL","IMPC_CBC_004_001","Urea (Blood Urea Nitrogen - BUN)",0.96
"bti8n75qfdvrc6l","MGI:1915918","Klk5","Early adult","C57BL","IMPC_EYE_007_001","Cornea",0.35
"bu0on6mz68cwck6","MGI:1922928","Ippk","Early adult","C57BL","M-G-P_025_001_021","Uric acid",0.97
"bu1363k7r3dwx0y","MGI:2388280","Polr2b","E9.5","C57BL","IMPC_INS_001_001","Insulin",0.48
"bu7ukt8n89fiv5v","MGI:99602","Acan","E15.5","C57BL","IMPC_CBC_015_001","Total cholesterol",0.53
"bu8qg24052yq0wr","MGI:2387194","Qsox2","Late adult","C57BL","IMPC_ECH_010_001","LVAWs",0.2
"budg104qyyj4aj4","MGI:1928486","Tdo2","Early adult","C57BL","IMPC_EYE_002_001","Bulging eye",0.11
"burp2751rp1vy2m","MGI:2684313","Togaram1","Early adult","C57BL","M-G-P_006_001_013","Radius",0.39
"buu471a5csmeyd5","MGI:2684313","Togaram1","E15.5","C57BL","M-G-P_025_001_022","Total bilirubin",0.74
"buzbhmd1i094150","MGI:2141255","Zfp513","Early adult","C57BL","IMPC_ECH_012_001","LVPWs",0.97
"bv1iwzeg650ikri","MGI:1349473","Ppp2r5e","Early adult","C57BL","IMPC_CSD_036_001","Startle response",0.71
"bv2mtz83117fa0c","MGI:104747","Pkia","Early adult","C57BL","IMPC_CBC_012_001","Aspartate aminotransferase",0.36
"bv6a085lc736y4z","MGI:1915625","Ndufa8","Early adult","C57BL","RBRCLA_CBC_004_001","Urea (Blood Urea Nitrogen - BUN)",0.76
"bv9i4780sqeee1q","MGI:1928486","Tdo2","E15.5","C57BL","ESLIM_011_001_003","PP2 startle magnitude",0.33
"bvx62kl530l67f9","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_OFD_016_001","Center permanence time",0.63
"bw1kc74a60i9t96","MGI:1917022","Bdh2","Early adult","C57BL","IMPC_ECH_008_001","LVIDd",0.8
"bw267c99f0zfx97","MGI:1915918","Klk5","Early adult","C57BL","IMPC_CSD_039_001","Limb grasp",0.35
"bw8hzqys7a439hc","MGI:1915625","Ndufa8","Early adult","C57BL","IMPC_OFD_009_001","Whole arena average speed",0.85
"bwi5260dgqwny8q","MGI:1921275","Nphp3","Early adult","C57BL","IMPC_CSD_010_001","Coat - color pattern - abdomen",0.55
"bwps3v84iaxt33d","MGI:95805","Grb2","Early adult","129SV","IMPC_EYE_069_001","Left inner nuclear layer",0.35
"bwq29002ktwa26k","MGI:2387194","Qsox2","Late adult","C57BL","IMPC_GEP_005_002","Responsive to tactile stimuli",0.06
"bwu50644g4056i6","MGI:88289","Cbx2","E15.5","C57BL","ESLIM_016_001_008","Platelets count",0.63
"bx3kn02u0843kz0","MGI:1339711","Myh1","Early adult","C57BL","IMPC_CBC_004_001","Urea (Blood Urea Nitrogen - BUN)",0.53
"bx593290aye62m2","MGI:3652039","Rad21l","Late adult","C57BL","KMPCLA_CBC_006_001","Total protein",0.71
"bxc39gv4nad7z2m","MGI:2147067","Dhx57","Early adult","C57BL","IMPC_CSD_033_001","Gait",0.48
"bxv87kph6xd3883","MGI:2145567","Fam149b","Early adult","C57BL","IMPC_EYE_027_001","Persistence of hyaloid vascular system",0.99
"by01i64cgi33i60","MGI:2151224","Alpk3","Early adult","C57BL","JAX_ECT_011_001","mA threshold inducing clonic seizure",0.09
"by1ox0vbu26e113","MGI:1339998","Efemp1","Early adult","C57BL","IMPC_CBC_006_001","Total protein",0.18
"by2cx92e4yu71n3","MGI:2684313","Togaram1","E9.5","C57BL","CCP_XRY_057_001","Kyphosis",0.15
"by3atzd1xcjktm2","MGI:2442689","Lrrc49","Early adult","C57BL","IMPC_EYE_026_001","Retinal Blood Vessels Pattern",0.62
"by4qi9qve2j95u8","MGI:99160","Zfp14","Early adult","C57BL","IMPC_HWT_002_001","Tibia length",0.24
"by5798ho22qhto6","MGI:1277171","Dcx","Early adult","C57BL","JAX_LDT_002_001","Light side time spent",0.07
"by61lo32x2t5h7u","MGI:1921275","Nphp3","Early adult","C57BL","IMPC_OFD_009_001","Whole arena average speed",0.56
"by7j4367z2x232v","MGI:2681308","Tas2r139","Early adult","C57BL","KMPCLA_CBC_006_001","Total protein",0.77
"by7ue811cq0969i","MGI:2385186","Clcc1","E9.5","C57BL","CCP_XRY_001_001","Skull shape",0.13
"by8375v96e0mhm1","MGI:3037820","Kcna10","E12.5","C57BL","M-G-P_006_001_026","Fusion of vertebrae",0.1
"by8k3970vtp7050","MGI:1922928","Ippk","Early adult","C57BL","IMPC_EYE_027_001","Persistence of hyaloid vascular system",0.19
"byi361o84l370xm","MGI:96273","Htr1a","Early adult","C57BL","ESLIM_016_001_005","Mean cell volume",0.38
"byi9lpsqz8a27vi","MGI:2385186","Clcc1","E12.5","C57BL","IMPC_CSD_039_001","Limb grasp",0.39
"bz00242985z1cp0","MGI:1333782","Pld3","Early adult","C57BL","M-G-P_006_001_013","Radius",0.58
"bz44jq3kjkamjef","MGI:98957","Wnt4","Early adult","C57BL","IMPC_OFD_007_001","Whole arena resting time",0.66
"bz5kal2u5zwxj50","MGI:99160","Zfp14","Early adult","C57BL","IMPC_CBC_009_001","Calcium",0.05
"bz6wm9fhj0s0kq4","MGI:2684313","Togaram1","E15.5","C57BL","CCP_XRY_001_001","Skull shape",0.74
"bz7141c2x3f1y88","MGI:88289","Cbx2","Early adult","C57BL","IMPC_CBC_007_001","Albumin",0.18
"bz93r01rpth8212","MGI:2385186","Clcc1","Early adult","C57BL","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.27
"bz9km1sg5yv9b71","MGI:98839","Prss1","Early adult","C57BL","CCP_XRY_001_001","Skull shape",0.4
"bzk6hsmpq4gt733","MGI:3527427","Taar3","Early adult","C57BL","JAX_LDT_009_001","Percent time in light",0.41
"c005fi58903494h","MGI:700006","Dbnl","Early adult","C57BL","JAX_URI_005_001","Glucose",0.56
"c01259af403e140","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_CBC_018_001","Glucose",0.1
"c01r14rssu078pt","MGI:1353497","Slc25a10","Early adult","C57BL","IMPC_ACS_035_001","% Pre-pulse inhibition - PPI3",0.98
"c023segw22mqg2a","MGI:88452","Col2a1","Early adult","C57BL","JAX_OFD_007_001","Whole arena resting time",0.15
"c02ywmut04w580y","MGI:103250","Calm2","Early adult","C57BL","IMPC_OFD_022_001","Percentage center time",0.5
"c049c8kv4fll311","MGI:95777","Gnas","Early adult","129SV","IMPC_GRS_011_001","Forelimb and hindlimb grip strength normalised against body weight",0.51
"c04ivu8hwp3f3cq","MGI:1921287","Acot6","Early adult","C57BL","IMPC_HEM_001_001","White blood cell count",0.49
"c059006292m5c2l","MGI:1919588","Wdr89","Early adult","C57BL","ESLIM_011_001_005","PP4 startle magnitude",0.78
"c05b2t91g5hog6c","MGI:96273","Htr1a","Early adult","C57BL","CCP_XRY_001_001","Skull shape",0.83
"c06ye3don32607u","MGI:95805","Grb2","Early adult","129SV","M-G-P_025_001_013","Aspartate aminotransferase",0.6
"c0787jk19tz6442","MGI:1915267","Mrm2","E9.5","C57BL","IMPC_EYE_002_001","Bulging eye",0.3
"c0800875633bn59","MGI:3041259","Mettl25","Early adult","C57BL","IMPC_HWT_002_001","Tibia length",0.38
"c0824tf7z295tr0","MGI:98905","Usp4","Early adult","C57BL","JAX_LDT_008_001","Percent time in dark",0.61
"c0b0323p0013czi","MGI:1353497","Slc25a10","Early adult","C57BL","IMPC_EYE_026_001","Retinal Blood Vessels Pattern",0
"c0pzg0zq5sfg5zh","MGI:1916943","Pof1b","Early adult","C57BL","IMPC_OFD_016_001","Center permanence time",0.44
"c0zr2u0916279cd","MGI:88289","Cbx2","E15.5","C57BL","IMPC_ACS_006_001","Response amplitude - S",0.57
"c10h0btde4f7f2r","MGI:3037820","Kcna10","E12.5","C57BL","ESLIM_021_001_005","HDL-cholesterol",0.41
"c10j470iekx1sm1","MGI:103250","Calm2","Early adult","C57BL","IMPC_EYE_023_001","Optic Disc",0.92
"c117tz048px50r0","MGI:1339998","Efemp1","Early adult","C57BL","M-G-P_025_001_022","Total bilirubin",0.97
"c121pg7l840c57e","MGI:2685031","Leo1","Early adult","C57BL","IMPC_EYE_014_001","Pupil Light Response",0.26
"c128mvq3e8s5zrn","MGI:98241","Stmn2","Early adult","C57BL","IMPC_CBC_023_001","Alpha-amylase",0.46
"c147zkx8i16irkt","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_EYE_063_001","Right inner nuclear layer",0.69
"c16a23an2b6xo8c","MGI:2684313","Togaram1","Early adult","C57BL","IMPC_ACS_033_001","% Pre-pulse inhibition - PPI1",0.35
"c185y5e58yt6940","MGI:95805","Grb2","Early adult","C57BL","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.85
"c18mayios5y1q86","MGI:1339998","Efemp1","Early adult","C57BL","IMPC_HEM_001_001","White blood cell count",0.92
"c19if368is1y83b","MGI:2153608","Ube2j2","Middle aged adult","C57BL","KMPCLA_CBC_006_001","Total protein",0.12
"c1ebn9j80dzqxs1","MGI:3037820","Kcna10","E12.5","C57BL","IMPC_HEM_004_001","Hematocrit",0.3
"c1ky3r0j3u2108x","MGI:1921674","Tmc5","Early adult","C57BL","IMPC_ACS_035_001","% Pre-pulse inhibition - PPI3",0.74
"c1o340fa6x48wyv","MGI:2442689","Lrrc49","Early adult","C57BL","IMPC_ECH_008_001","LVIDd",0.96
"c1piu9kx450urfd","MGI:2385186","Clcc1","E12.5","C57BL","IMPC_CSD_017_001","Forelimbs - position",0.65
"c1r611d4fl001pn","MGI:2145567","Fam149b","Early adult","C57BL","IMPC_ACS_037_001","% Pre-pulse inhibition - Global",0.94
"c1t48fw1g8402mw","MGI:1921287","Acot6","Early adult","C57BL","M-G-P_025_001_014","Alanine aminotransferase",0.6
"c1txzsr84f304r9","MGI:1926024","Cfap61","Early adult","C57BL","IMPC_HEM_002_001","Red blood cell count",0.58
"c1vt420ka3x647v","MGI:2685945","Pstk","Early adult","C57BL","IMPC_EYE_007_001","Cornea",0.73
"c1yj125133jw7qy","MGI:3652039","Rad21l","Early adult","C57BL","IMPC_GRS_010_001","Forelimb grip strength normalised against body weight",0.3
"c20cngk7z1uc8r4","MGI:2684313","Togaram1","E15.5","C57BL","IMPC_CSD_017_001","Forelimbs - position",0.28
"c20f581pq6s4cc1","MGI:1928486","Tdo2","Early adult","C57BL","M-G-P_006_001_013","Radius",0.43
"c20p2589g04xw75","MGI:2443834","Ppfia2","Early adult","C57BL","IMPC_HEM_035_001","Eosinophil differential count",0.64
"c2166a4zz167208","MGI:98241","Stmn2","Early adult","C57BL","IMPC_EYE_067_001","Left anterior chamber depth",0.2
"c21b4gd9bu34j75","MGI:2385186","Clcc1","E12.5","C57BL","M-G-P_005_001_001","Weight",0.82
"c21x2pvm0ild00w","MGI:2141255","Zfp513","Early adult","C57BL","IMPC_ACS_037_001","% Pre-pulse inhibition - Global",0.19
"c225e324678e899","MGI:3041259","Mettl25","Early adult","C57BL","IMPC_CBC_005_001","Creatinine",0.62
"c2289rsv4xs638o","MGI:1915625","Ndufa8","Early adult","C57BL","IMPC_OFD_007_001","Whole arena resting time",0.55
"c22ag3w5xv58ld8","MGI:1932970","Ucn3","Early adult","C57BL","IMPC_OFD_014_001","Center distance travelled",0.83
"c2621d07031y00s","MGI:106351","Vcf1","Early adult","129SV","IMPC_ACS_036_001","% Pre-pulse inhibition - PPI4",0.48
"c27pa1fragc488d","MGI:2153608","Ube2j2","Late adult","C57BL","RBRCLA_CBC_004_001","Urea (Blood Urea Nitrogen - BUN)",0
"c280p2nk8qx9ub1","MGI:1339711","Myh1","Early adult","C57BL","IMPC_HEM_008_001","Platelet count",0.92
"c282akr05u5ybjj","MGI:96438","Igfbp3","Early adult","C57BL","IMPC_GEM_063_001","Facial cleft",0.84
"c28f6nt0l3bb577","MGI:2141255","Zfp513","Early adult","C57BL","M-G-P_006_001_026","Fusion of vertebrae",0.68
"c2b6c486wpi8dri","MGI:1915267","Mrm2","Early adult","C57BL","M-G-P_025_001_013","Aspartate aminotransferase",0.92
"c2i75537mr49101","MGI:1914852","Necap1","E18.5","C57BL","IMPC_OFD_007_001","Whole arena resting time",0.97
"c2l1za8om116mm7","MGI:97808","Ptpra","Early adult","C57BL","IMPC_EYE_014_001","Pupil Light Response",0.8
"c2o86adz78g0x9a","MGI:88452","Col2a1","Early adult","C57BL","IMPC_CBC_023_001","Alpha-amylase",0.71
"c2we2i5izazo34x","MGI:96217","Hprt1","Early adult","C57BL","IMPC_HEM_019_001","Mean platelet volume",0.31
"c2y7glcw783hok5","MGI:1930923","Slurp1","Early adult","C57BL","IMPC_HWT_002_001","Tibia length",0.29
"c2z5z8z3zp1e210","MGI:1930923","Slurp1","Early adult","C57BL","IMPC_DXA_003_001","Lean mass",0.18
"c2zxsse4yb8i1e8","MGI:1349473","Ppp2r5e","Early adult","C57BL","IMPC_HEM_004_001","Hematocrit",0
"c30859g38k6uc41","MGI:98905","Usp4","Early adult","C57BL","IMPC_CSD_032_001","Locomotor activity",0.69
"c30p7dl45s29eaa","MGI:101901","Klra7","Early adult","C57BL","HMGULA_CBC_010_001","Phosphorus",0.19
"c31dk837n70lu04","MGI:98261","Ccl4","Early adult","C57BL","IMPC_HEM_004_001","Hematocrit",0.27
"c31wyc9fp365r90","MGI:1919588","Wdr89","Early adult","C57BL","IMPC_CSD_029_001","Activity (body position)",0.47
